DATE,TOTAL_CRASHES,TOTAL_FATALITIES,TOTAL_INCAPACITATING_INJURIES,TOTAL_NON_INCAPACITATING_INJURIES
2024-07-01,280,0.0,3.0,42.0
2024-07-02,282,0.0,3.0,33.0
2024-07-03,376,0.0,4.0,42.0
2024-07-04,230,0.0,4.0,31.0
2024-07-05,341,0.0,10.0,61.0
2024-07-06,274,1.0,5.0,28.0
2024-07-07,293,0.0,6.0,56.0
2024-07-08,294,0.0,1.0,37.0
2024-07-09,289,0.0,2.0,38.0
2024-07-10,296,0.0,7.0,27.0
2024-07-11,255,0.0,3.0,34.0
2024-07-12,353,0.0,6.0,46.0
2024-07-13,365,2.0,15.0,59.0
2024-07-14,304,0.0,9.0,45.0
2024-07-15,311,1.0,5.0,45.0
2024-07-16,340,0.0,5.0,36.0
2024-07-17,317,1.0,3.0,42.0
2024-07-18,309,1.0,7.0,45.0
2024-07-19,302,0.0,2.0,30.0
2024-07-20,319,0.0,9.0,47.0
2024-07-21,289,0.0,2.0,47.0
2024-07-22,276,1.0,0.0,56.0
2024-07-23,284,1.0,5.0,29.0
2024-07-24,304,0.0,4.0,43.0
2024-07-25,300,0.0,10.0,33.0
2024-07-26,333,0.0,14.0,43.0
2024-07-27,345,4.0,11.0,53.0
2024-07-28,285,2.0,6.0,41.0
2024-07-29,275,1.0,10.0,34.0
2024-07-30,299,1.0,12.0,44.0
2024-07-31,349,0.0,9.0,38.0
